shipperId,carrierId,vehicleId,mileageKm,weightKg,volumeM3,goodsName,extraLoadingFee,subsidy,deduction,idempotencyKey
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-1,20,0,0,bulk-import-idem-1
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-2,20,0,0,bulk-import-idem-2
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-3,20,0,0,bulk-import-idem-3
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-4,20,0,0,bulk-import-idem-4
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-5,20,0,0,bulk-import-idem-5
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-6,20,0,0,bulk-import-idem-6
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-7,20,0,0,bulk-import-idem-7
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-8,20,0,0,bulk-import-idem-8
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-9,20,0,0,bulk-import-idem-9
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-10,20,0,0,bulk-import-idem-10
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-11,20,0,0,bulk-import-idem-11
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-12,20,0,0,bulk-import-idem-12
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-13,20,0,0,bulk-import-idem-13
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-14,20,0,0,bulk-import-idem-14
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-15,20,0,0,bulk-import-idem-15
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-16,20,0,0,bulk-import-idem-16
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-17,20,0,0,bulk-import-idem-17
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-18,20,0,0,bulk-import-idem-18
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-19,20,0,0,bulk-import-idem-19
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-20,20,0,0,bulk-import-idem-20
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-21,20,0,0,bulk-import-idem-21
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-22,20,0,0,bulk-import-idem-22
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-23,20,0,0,bulk-import-idem-23
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-24,20,0,0,bulk-import-idem-24
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-25,20,0,0,bulk-import-idem-25
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-26,20,0,0,bulk-import-idem-26
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-27,20,0,0,bulk-import-idem-27
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-28,20,0,0,bulk-import-idem-28
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-29,20,0,0,bulk-import-idem-29
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-30,20,0,0,bulk-import-idem-30
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-31,20,0,0,bulk-import-idem-31
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-32,20,0,0,bulk-import-idem-32
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-33,20,0,0,bulk-import-idem-33
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-34,20,0,0,bulk-import-idem-34
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-35,20,0,0,bulk-import-idem-35
shipper-1,carrier-1,vehicle-1,320,3000,10,bulk-import-36,20,0,0,bulk-import-idem-36
